RiskGroup,Metro,0-4,5-17,18-49,50-64,65+
1,26420,38695.060447581185,136609.05116022268,624121.4470181935,395584.73709380353,344031.16049875005
0,26420,503894.3210393275,1101231.9081899466,2701593.7547480385,778586.5673581667,373035.99244596943
