RiskGroup,Metro,0-4,5-17,18-49,50-64,65+
1,13140,2434.5259744646355,9240.824302506247,36119.51263932986,27084.10146591907,28861.58207795717
0,13140,27699.64922650814,62417.234550428955,140443.79203202054,47397.17756535837,27827.600165506992
